draw,capability,pct_nodes_changed,mean_abs_score_delta,max_weight
170,restorativeness,0.7677543186180422,0.0015355086372360847,0.27902454479025446
171,restorativeness,0.5758157389635317,0.0011516314779270636,0.2746228160566941
172,restorativeness,2.111324376199616,0.004222648752399233,0.25946270641578484
173,restorativeness,0.3198976327575176,0.0006397952655150352,0.24032188842488142
174,restorativeness,1.2156110044785668,0.0024312220089571335,0.26644889712195974
175,restorativeness,2.1753039027511196,0.00435060780550224,0.2422327373346267
176,restorativeness,1.9193857965451053,0.003838771593090211,0.28545476792190694
177,restorativeness,2.111324376199616,0.004222648752399233,0.2466689884163689
178,restorativeness,0.6397952655150352,0.0012795905310300703,0.23034160445175458
179,restorativeness,0.2559181062060141,0.0005118362124120282,0.22043977652566923
180,restorativeness,1.471529110684581,0.002943058221369162,0.22249118404758708
181,restorativeness,18.809980806142036,0.037619961612284064,0.26408186633195757
182,restorativeness,1.2156110044785668,0.0024312220089571343,0.2674784446071262
183,restorativeness,18.55406269993602,0.037108125399872044,0.2610438296008308
184,restorativeness,0.7037747920665387,0.0014075495841330775,0.24975925297367382
185,restorativeness,1.0876519513755598,0.0021753039027511195,0.24990527985197422
186,restorativeness,1.2156110044785668,0.002431222008957134,0.22187139274428525
187,restorativeness,0.4478566858605247,0.0008957133717210495,0.21646429680061188
188,restorativeness,18.87396033269354,0.037747920665387076,0.2716836599695574
189,restorativeness,1.0876519513755598,0.0021753039027511195,0.24965555784966387
190,restorativeness,19.513755598208572,0.03902751119641715,0.24894884462574332
191,restorativeness,0.5118362124120281,0.0010236724248240564,0.25135431831650334
192,restorativeness,2.7511196417146513,0.005502239283429303,0.257709884706493
193,restorativeness,0.3838771593090211,0.0007677543186180424,0.2174988245856008
194,restorativeness,3.45489443378119,0.0069097888675623805,0.34419181076367267
195,restorativeness,2.3032629558541267,0.004606525911708254,0.23846166281923548
196,restorativeness,2.495201535508637,0.0049904030710172746,0.245640064672415
197,restorativeness,1.5355086372360844,0.0030710172744721695,0.22624209655105076
198,restorativeness,1.4075495841330774,0.002815099168266155,0.2677803571567133
199,restorativeness,0.8957133717210494,0.0017914267434420987,0.2988055688306988
0,nutrition,0.5758157389635317,0.0011516314779270631,0.5451026875996217
1,nutrition,0.8957133717210494,0.0017914267434420985,0.5705253497684495
