from_lon,from_lat,to_lon,to_lat,google_maps_transit_url,travel_time,wait_time
9.101,39.228,9.117199999999999,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.101&destination=39.22%2C9.117199999999999&travelmode=transit&departure_time=1760522400",28,1.15
9.101,39.228,9.1184,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.101&destination=39.22%2C9.1184&travelmode=transit&departure_time=1760522400",28,1.15
9.101,39.228,9.1196,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.101&destination=39.22%2C9.1196&travelmode=transit&departure_time=1760522400",31,1.15
9.101,39.228,9.1208,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.101&destination=39.22%2C9.1208&travelmode=transit&departure_time=1760522400",32,3.0166666666666666
9.1022,39.228,9.11,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1022&destination=39.22%2C9.11&travelmode=transit&departure_time=1760522400",21,1.0666666666666667
9.1022,39.228,9.1112,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1022&destination=39.22%2C9.1112&travelmode=transit&departure_time=1760522400",35,3.6
9.1022,39.228,9.1124,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1022&destination=39.22%2C9.1124&travelmode=transit&departure_time=1760522400",26,1.0666666666666667
9.1022,39.228,9.1136,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1022&destination=39.22%2C9.1136&travelmode=transit&departure_time=1760522400",27,1.0666666666666667
9.1022,39.228,9.114799999999999,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1022&destination=39.22%2C9.114799999999999&travelmode=transit&departure_time=1760522400",30,1.8833333333333333
9.1022,39.228,9.116,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1022&destination=39.22%2C9.116&travelmode=transit&departure_time=1760522400",29,1.8833333333333333
9.1022,39.228,9.117199999999999,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1022&destination=39.22%2C9.117199999999999&travelmode=transit&departure_time=1760522400",27,1.1166666666666667
9.1022,39.228,9.1184,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1022&destination=39.22%2C9.1184&travelmode=transit&departure_time=1760522400",27,1.1166666666666667
9.1022,39.228,9.1196,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1022&destination=39.22%2C9.1196&travelmode=transit&departure_time=1760522400",30,1.1166666666666667
9.1022,39.228,9.1208,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1022&destination=39.22%2C9.1208&travelmode=transit&departure_time=1760522400",30,2.9833333333333334
9.1034,39.228,9.11,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1034&destination=39.22%2C9.11&travelmode=transit&departure_time=1760522400",27,1.0333333333333334
9.1034,39.228,9.1112,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1034&destination=39.22%2C9.1112&travelmode=transit&departure_time=1760522400",40,3.65
9.1034,39.228,9.1124,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1034&destination=39.22%2C9.1124&travelmode=transit&departure_time=1760522400",31,1.0333333333333334
9.1034,39.228,9.1136,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1034&destination=39.22%2C9.1136&travelmode=transit&departure_time=1760522400",32,3.65
9.1034,39.228,9.114799999999999,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1034&destination=39.22%2C9.114799999999999&travelmode=transit&departure_time=1760522400",37,1.9
9.1034,39.228,9.116,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1034&destination=39.22%2C9.116&travelmode=transit&departure_time=1760522400",37,1.9
9.1034,39.228,9.117199999999999,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1034&destination=39.22%2C9.117199999999999&travelmode=transit&departure_time=1760522400",36,1.1333333333333333
9.1034,39.228,9.1184,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1034&destination=39.22%2C9.1184&travelmode=transit&departure_time=1760522400",37,1.1333333333333333
9.1034,39.228,9.1196,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1034&destination=39.22%2C9.1196&travelmode=transit&departure_time=1760522400",39,1.1333333333333333
9.1034,39.228,9.1208,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1034&destination=39.22%2C9.1208&travelmode=transit&departure_time=1760522400",39,3.0
9.104600000000001,39.228,9.11,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.104600000000001&destination=39.22%2C9.11&travelmode=transit&departure_time=1760522400",27,1.0833333333333333
9.104600000000001,39.228,9.1112,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.104600000000001&destination=39.22%2C9.1112&travelmode=transit&departure_time=1760522400",40,3.6333333333333333
9.104600000000001,39.228,9.1124,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.104600000000001&destination=39.22%2C9.1124&travelmode=transit&departure_time=1760522400",31,1.0833333333333333
9.104600000000001,39.228,9.1136,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.104600000000001&destination=39.22%2C9.1136&travelmode=transit&departure_time=1760522400",32,3.6333333333333333
9.104600000000001,39.228,9.114799999999999,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.104600000000001&destination=39.22%2C9.114799999999999&travelmode=transit&departure_time=1760522400",37,1.7833333333333334
9.104600000000001,39.228,9.116,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.104600000000001&destination=39.22%2C9.116&travelmode=transit&departure_time=1760522400",37,1.7833333333333334
9.104600000000001,39.228,9.117199999999999,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.104600000000001&destination=39.22%2C9.117199999999999&travelmode=transit&departure_time=1760522400",36,1.0166666666666666
9.104600000000001,39.228,9.1184,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.104600000000001&destination=39.22%2C9.1184&travelmode=transit&departure_time=1760522400",37,1.0166666666666666
9.104600000000001,39.228,9.1196,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.104600000000001&destination=39.22%2C9.1196&travelmode=transit&departure_time=1760522400",39,1.0166666666666666
9.104600000000001,39.228,9.1208,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.104600000000001&destination=39.22%2C9.1208&travelmode=transit&departure_time=1760522400",39,2.8833333333333333
9.1058,39.228,9.11,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1058&destination=39.22%2C9.11&travelmode=transit&departure_time=1760522400",17,1.15
9.1058,39.228,9.1112,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.228%2C9.1058&destination=39.22%2C9.1112&travelmode=transit&departure_time=1760522400",25,1.0666666666666667
