SERVICE: sport_and_movement
  POI_TYPE: leisure_sports_centre (tags={'leisure': 'sports_centre'})
  COUNT: 66
    - Step & fitness | id=2849940324 | lat=39.226794 lon=9.133378
    - leisure_pitch (11810296193) | id=11810296193 | lat=39.248030 lon=9.132256
    - leisure_pitch (11819307005) | id=11819307005 | lat=39.202648 lon=9.161569
    - leisure_pitch (11916044199) | id=11916044199 | lat=39.248106 lon=9.139792
    - leisure_pitch (118192703) | id=118192703 | lat=39.209471 lon=9.129958
    - leisure_pitch (118498925) | id=118498925 | lat=39.224351 lon=9.095628
    - leisure_pitch (118513487) | id=118513487 | lat=39.224149 lon=9.105284
    - leisure_pitch (118569112) | id=118569112 | lat=39.221790 lon=9.108761
    - leisure_pitch (118576614) | id=118576614 | lat=39.227025 lon=9.107196
    - leisure_pitch (118578999) | id=118578999 | lat=39.225350 lon=9.112157
    - leisure_pitch (118582713) | id=118582713 | lat=39.221469 lon=9.117325
    - leisure_pitch (118591558) | id=118591558 | lat=39.229413 lon=9.137966
    - leisure_pitch (118591658) | id=118591658 | lat=39.228957 lon=9.137657
    - leisure_pitch (118591659) | id=118591659 | lat=39.229323 lon=9.137623
    - leisure_pitch (118591735) | id=118591735 | lat=39.229640 lon=9.137414
    - leisure_pitch (118599303) | id=118599303 | lat=39.231925 lon=9.130356
    - leisure_pitch (118599304) | id=118599304 | lat=39.232076 lon=9.130032
    - leisure_pitch (118610641) | id=118610641 | lat=39.236001 lon=9.118172
    - leisure_pitch (118610642) | id=118610642 | lat=39.236213 lon=9.118963
    - leisure_pitch (118615630) | id=118615630 | lat=39.228143 lon=9.114715
    - leisure_pitch (118630047) | id=118630047 | lat=39.240227 lon=9.117072
    - leisure_pitch (118640128) | id=118640128 | lat=39.251958 lon=9.099214
    - leisure_pitch (118644696) | id=118644696 | lat=39.251866 lon=9.123743
    - leisure_pitch (118644697) | id=118644697 | lat=39.251478 lon=9.123199
    - leisure_pitch (118644756) | id=118644756 | lat=39.250835 lon=9.123798
    - leisure_pitch (118645068) | id=118645068 | lat=39.251878 lon=9.126988
    - leisure_pitch (118789116) | id=118789116 | lat=39.232530 lon=9.105693
    - leisure_pitch (118828646) | id=118828646 | lat=39.244058 lon=9.105933
    - leisure_pitch (118828651) | id=118828651 | lat=39.244422 lon=9.105864
    - leisure_pitch (118841693) | id=118841693 | lat=39.241042 lon=9.102629
    - leisure_pitch (118842417) | id=118842417 | lat=39.240155 lon=9.103747
    - leisure_pitch (118842418) | id=118842418 | lat=39.239883 lon=9.103859
    - leisure_pitch (118905873) | id=118905873 | lat=39.244988 lon=9.118956
    - leisure_pitch (118905875) | id=118905875 | lat=39.245199 lon=9.118269
    - leisure_pitch (118905877) | id=118905877 | lat=39.245195 lon=9.118832
    - leisure_pitch (118906123) | id=118906123 | lat=39.244552 lon=9.118112
    - leisure_pitch (118942763) | id=118942763 | lat=39.242079 lon=9.137341
    - leisure_pitch (142027889) | id=142027889 | lat=39.213338 lon=9.090458
    - leisure_pitch (152699651) | id=152699651 | lat=39.254551 lon=9.096711
    - leisure_pitch (152699654) | id=152699654 | lat=39.254773 lon=9.097293
    - leisure_pitch (155011946) | id=155011946 | lat=39.202080 lon=9.135315
    - Skate Park | id=155012414 | lat=39.201781 lon=9.135140
    - leisure_pitch (156979987) | id=156979987 | lat=39.229497 lon=9.111412
    - leisure_pitch (162028981) | id=162028981 | lat=39.251264 lon=9.139182
    - Campo Cipla | id=172753082 | lat=39.231121 lon=9.125106
    - leisure_pitch (204022752) | id=204022752 | lat=39.244230 lon=9.150201
    - leisure_pitch (204022757) | id=204022757 | lat=39.244679 lon=9.147111
    - leisure_pitch (259880723) | id=259880723 | lat=39.236630 lon=9.118448
    - leisure_pitch (259880724) | id=259880724 | lat=39.236550 lon=9.117560
    - leisure_pitch (259880725) | id=259880725 | lat=39.236887 lon=9.117168
    - leisure_pitch (260067461) | id=260067461 | lat=39.222222 lon=9.097853
    - Baseball per ciechi | id=260067464 | lat=39.222664 lon=9.097134
    - leisure_pitch (266089669) | id=266089669 | lat=39.245376 lon=9.148336
    - leisure_pitch (266089671) | id=266089671 | lat=39.245024 lon=9.147784
    - leisure_pitch (266089672) | id=266089672 | lat=39.245339 lon=9.147550
    - leisure_pitch (266089674) | id=266089674 | lat=39.244130 lon=9.147412
    - leisure_pitch (277195665) | id=277195665 | lat=39.235873 lon=9.135117
    - leisure_pitch (277195677) | id=277195677 | lat=39.250821 lon=9.138326
    - leisure_pitch (277195789) | id=277195789 | lat=39.201836 lon=9.135267
    - leisure_pitch (277195858) | id=277195858 | lat=39.235915 lon=9.133695
    - leisure_pitch (277195943) | id=277195943 | lat=39.208322 lon=9.120158
    - leisure_pitch (277195953) | id=277195953 | lat=39.211448 lon=9.127526
    - leisure_pitch (277195955) | id=277195955 | lat=39.206271 lon=9.144706
    - leisure_pitch (277195956) | id=277195956 | lat=39.216291 lon=9.132069
    - leisure_pitch (277195963) | id=277195963 | lat=39.241326 lon=9.138980
    - leisure_pitch (277195964) | id=277195964 | lat=39.196918 lon=9.141443
    - leisure_pitch (277195965) | id=277195965 | lat=39.243408 lon=9.105796
    - leisure_pitch (277195966) | id=277195966 | lat=39.216868 lon=9.132064
    - leisure_pitch (277195973) | id=277195973 | lat=39.230701 lon=9.124025
    - leisure_pitch (277195977) | id=277195977 | lat=39.227351 lon=9.124276
    - leisure_pitch (277195984) | id=277195984 | lat=39.255144 lon=9.094092
    - Ossigeno Padel | id=277195990 | lat=39.214043 lon=9.125304
    - leisure_pitch (277195994) | id=277195994 | lat=39.240838 lon=9.106501
    - leisure_pitch (277196004) | id=277196004 | lat=39.230222 lon=9.127301
    - leisure_pitch (277196010) | id=277196010 | lat=39.236468 lon=9.133597
    - leisure_pitch (277196014) | id=277196014 | lat=39.248890 lon=9.142474
    - leisure_pitch (277196018) | id=277196018 | lat=39.237156 lon=9.101812
    - leisure_pitch (277196019) | id=277196019 | lat=39.201945 lon=9.150977
    - leisure_pitch (277196031) | id=277196031 | lat=39.201986 lon=9.144894
    - leisure_pitch (277196036) | id=277196036 | lat=39.203108 lon=9.137927
    - leisure_pitch (277196050) | id=277196050 | lat=39.226320 lon=9.102274
    - leisure_pitch (277196053) | id=277196053 | lat=39.255306 lon=9.096917
    - leisure_pitch (277196064) | id=277196064 | lat=39.217486 lon=9.132186
    - leisure_pitch (277196080) | id=277196080 | lat=39.247078 lon=9.144724
    - leisure_pitch (277196103) | id=277196103 | lat=39.232799 lon=9.099787
    - leisure_pitch (277196110) | id=277196110 | lat=39.254515 lon=9.097036
    - leisure_pitch (277196112) | id=277196112 | lat=39.218930 lon=9.126394
    - leisure_pitch (277196113) | id=277196113 | lat=39.209352 lon=9.126645
    - leisure_pitch (277196119) | id=277196119 | lat=39.244357 lon=9.134147
    - leisure_pitch (277196122) | id=277196122 | lat=39.242760 lon=9.107222
    - leisure_pitch (277196124) | id=277196124 | lat=39.217064 lon=9.132347
    - leisure_pitch (277196131) | id=277196131 | lat=39.242160 lon=9.089409
    - leisure_pitch (277196134) | id=277196134 | lat=39.202259 lon=9.133316
    - leisure_pitch (277196137) | id=277196137 | lat=39.239269 lon=9.105447
    - leisure_pitch (277196152) | id=277196152 | lat=39.232610 lon=9.111647
    - leisure_pitch (277196154) | id=277196154 | lat=39.236011 lon=9.133864
    - leisure_pitch (277196156) | id=277196156 | lat=39.216421 lon=9.132825
    - leisure_pitch (277196157) | id=277196157 | lat=39.202858 lon=9.132336
    - leisure_pitch (277196161) | id=277196161 | lat=39.211806 lon=9.128911
    - leisure_pitch (277196168) | id=277196168 | lat=39.213279 lon=9.124020
    - leisure_pitch (277196176) | id=277196176 | lat=39.221495 lon=9.109224
    - leisure_pitch (277196178) | id=277196178 | lat=39.232705 lon=9.139393
    - leisure_pitch (277196183) | id=277196183 | lat=39.233056 lon=9.123771
    - leisure_pitch (277196184) | id=277196184 | lat=39.202322 lon=9.143194
    - leisure_pitch (277196193) | id=277196193 | lat=39.228950 lon=9.118830
    - leisure_pitch (277196197) | id=277196197 | lat=39.241214 lon=9.138655
    - leisure_pitch (277196209) | id=277196209 | lat=39.206588 lon=9.144693
    - leisure_pitch (277196220) | id=277196220 | lat=39.222239 lon=9.098432
    - leisure_pitch (277196221) | id=277196221 | lat=39.230845 lon=9.111439
    - leisure_pitch (277196225) | id=277196225 | lat=39.204150 lon=9.138744
    - leisure_pitch (277196230) | id=277196230 | lat=39.241148 lon=9.137962
    - leisure_pitch (277196233) | id=277196233 | lat=39.229395 lon=9.118422
    - leisure_pitch (277196235) | id=277196235 | lat=39.257433 lon=9.098644
    - leisure_pitch (277196237) | id=277196237 | lat=39.270572 lon=9.086536
    - leisure_pitch (277196245) | id=277196245 | lat=39.220050 lon=9.120545
    - leisure_pitch (277196249) | id=277196249 | lat=39.244162 lon=9.134455
    - leisure_pitch (277196266) | id=277196266 | lat=39.196147 lon=9.141187
    - leisure_pitch (277196289) | id=277196289 | lat=39.244097 lon=9.150973
    - leisure_pitch (277196303) | id=277196303 | lat=39.206277 lon=9.144920
    - leisure_pitch (277196315) | id=277196315 | lat=39.202521 lon=9.133958
    - leisure_pitch (277196331) | id=277196331 | lat=39.241080 lon=9.138426
    - leisure_pitch (277196337) | id=277196337 | lat=39.215176 lon=9.101999
    - leisure_pitch (277196341) | id=277196341 | lat=39.213062 lon=9.124377
    - leisure_pitch (277196343) | id=277196343 | lat=39.214833 lon=9.132366
    - leisure_pitch (277196345) | id=277196345 | lat=39.225408 lon=9.135035
    - leisure_pitch (277196354) | id=277196354 | lat=39.216227 lon=9.133325
    - leisure_pitch (277196355) | id=277196355 | lat=39.250202 lon=9.139527
    - leisure_pitch (277196359) | id=277196359 | lat=39.201851 lon=9.134169
    - leisure_pitch (277196360) | id=277196360 | lat=39.201691 lon=9.150740
    - leisure_pitch (277196361) | id=277196361 | lat=39.225825 lon=9.135316
    - leisure_pitch (277196363) | id=277196363 | lat=39.251682 lon=9.122969
    - leisure_pitch (277196365) | id=277196365 | lat=39.244902 lon=9.148670
    - leisure_pitch (277196366) | id=277196366 | lat=39.219768 lon=9.111384
    - leisure_pitch (277196370) | id=277196370 | lat=39.227499 lon=9.133590
    - leisure_pitch (277196391) | id=277196391 | lat=39.250050 lon=9.097493
    - leisure_pitch (277196392) | id=277196392 | lat=39.234727 lon=9.109853
    - leisure_pitch (277196394) | id=277196394 | lat=39.213486 lon=9.125467
    - leisure_pitch (277196397) | id=277196397 | lat=39.232806 lon=9.128185
    - leisure_pitch (277196399) | id=277196399 | lat=39.216323 lon=9.133028
    - leisure_pitch (277196407) | id=277196407 | lat=39.207502 lon=9.144137
    - leisure_pitch (277196417) | id=277196417 | lat=39.202099 lon=9.141773
    - leisure_pitch (277196422) | id=277196422 | lat=39.232458 lon=9.112169
    - leisure_pitch (277196425) | id=277196425 | lat=39.232540 lon=9.105696
    - leisure_pitch (277196434) | id=277196434 | lat=39.251584 lon=9.123354
    - leisure_pitch (277196452) | id=277196452 | lat=39.215716 lon=9.131423
    - leisure_pitch (277196455) | id=277196455 | lat=39.271438 lon=9.085740
    - leisure_pitch (277196467) | id=277196467 | lat=39.216305 lon=9.131627
    - leisure_pitch (277196479) | id=277196479 | lat=39.235017 lon=9.122635
    - leisure_pitch (277196480) | id=277196480 | lat=39.201802 lon=9.142310
    - leisure_pitch (277196482) | id=277196482 | lat=39.201976 lon=9.143230
    - leisure_pitch (277196496) | id=277196496 | lat=39.235212 lon=9.122050
    - leisure_pitch (277196500) | id=277196500 | lat=39.230542 lon=9.113026
    - leisure_pitch (277196506) | id=277196506 | lat=39.187522 lon=9.153010
    - leisure_pitch (277196510) | id=277196510 | lat=39.225022 lon=9.106603
    - leisure_pitch (277196512) | id=277196512 | lat=39.266463 lon=9.100800
    - leisure_pitch (277196517) | id=277196517 | lat=39.212902 lon=9.124149
    - leisure_pitch (277196519) | id=277196519 | lat=39.192255 lon=9.139836
    - leisure_pitch (277196521) | id=277196521 | lat=39.202233 lon=9.135752
    - leisure_pitch (277196534) | id=277196534 | lat=39.210561 lon=9.127797
    - leisure_pitch (277196536) | id=277196536 | lat=39.214806 lon=9.132405
    - leisure_pitch (277196537) | id=277196537 | lat=39.237999 lon=9.141218
    - leisure_pitch (277196547) | id=277196547 | lat=39.249021 lon=9.142667
    - leisure_pitch (277196550) | id=277196550 | lat=39.251311 lon=9.123682
    - leisure_pitch (277196552) | id=277196552 | lat=39.225554 lon=9.095305
    - leisure_pitch (277196555) | id=277196555 | lat=39.247199 lon=9.145366
    - leisure_pitch (277196556) | id=277196556 | lat=39.216322 lon=9.133466
    - leisure_pitch (277196564) | id=277196564 | lat=39.201765 lon=9.135239
    - leisure_pitch (277196575) | id=277196575 | lat=39.233428 lon=9.130859
    - leisure_pitch (277196585) | id=277196585 | lat=39.242135 lon=9.140667
    - leisure_pitch (277196588) | id=277196588 | lat=39.204689 lon=9.139471
    - leisure_pitch (277196591) | id=277196591 | lat=39.206593 lon=9.144906
    - leisure_pitch (277196594) | id=277196594 | lat=39.212805 lon=9.127247
    - leisure_pitch (277196598) | id=277196598 | lat=39.202042 lon=9.142705
    - leisure_pitch (277196601) | id=277196601 | lat=39.235163 lon=9.122381
    - leisure_pitch (277196602) | id=277196602 | lat=39.257717 lon=9.098651
    - leisure_pitch (277196606) | id=277196606 | lat=39.225279 lon=9.134596
    - leisure_pitch (277196615) | id=277196615 | lat=39.224331 lon=9.098411
    - leisure_pitch (277196620) | id=277196620 | lat=39.242363 lon=9.089136
    - leisure_pitch (277196626) | id=277196626 | lat=39.253862 lon=9.098844
    - leisure_pitch (277196635) | id=277196635 | lat=39.202772 lon=9.128664
    - leisure_pitch (277196636) | id=277196636 | lat=39.208517 lon=9.141403
    - leisure_pitch (277196638) | id=277196638 | lat=39.222973 lon=9.133488
    - leisure_pitch (277196640) | id=277196640 | lat=39.240945 lon=9.138197
    - leisure_pitch (277196675) | id=277196675 | lat=39.204842 lon=9.139046
    - leisure_pitch (277196677) | id=277196677 | lat=39.257787 lon=9.099193
    - leisure_pitch (277196681) | id=277196681 | lat=39.229266 lon=9.118545
    - leisure_pitch (277196689) | id=277196689 | lat=39.216673 lon=9.131782
    - leisure_pitch (277196695) | id=277196695 | lat=39.227112 lon=9.133016
    - leisure_pitch (277196717) | id=277196717 | lat=39.202308 lon=9.142982
    - leisure_pitch (277196735) | id=277196735 | lat=39.230928 lon=9.112281
    - leisure_pitch (277196743) | id=277196743 | lat=39.241018 lon=9.104355
    - leisure_pitch (277196798) | id=277196798 | lat=39.214551 lon=9.172453
    - leisure_pitch (277196803) | id=277196803 | lat=39.229695 lon=9.137885
    - leisure_pitch (277196814) | id=277196814 | lat=39.245196 lon=9.118265
    - leisure_pitch (277196843) | id=277196843 | lat=39.230366 lon=9.130683
    - leisure_pitch (277196847) | id=277196847 | lat=39.241942 lon=9.137315
    - leisure_pitch (277196858) | id=277196858 | lat=39.221570 lon=9.109438
    - leisure_pitch (277196861) | id=277196861 | lat=39.209825 lon=9.127124
    - leisure_pitch (277196874) | id=277196874 | lat=39.217174 lon=9.132513
    - leisure_pitch (277196881) | id=277196881 | lat=39.201761 lon=9.135103
    - leisure_pitch (277196898) | id=277196898 | lat=39.244017 lon=9.123136
    - leisure_pitch (277196903) | id=277196903 | lat=39.250640 lon=9.121038
    - leisure_pitch (277196909) | id=277196909 | lat=39.249032 lon=9.141126
    - leisure_pitch (277196925) | id=277196925 | lat=39.226255 lon=9.094875
    - leisure_pitch (277196933) | id=277196933 | lat=39.240253 lon=9.099960
    - Campo Comunale | id=277196939 | lat=39.207602 lon=9.136658
    - leisure_pitch (277196942) | id=277196942 | lat=39.244971 lon=9.148873
    - leisure_pitch (277196944) | id=277196944 | lat=39.226849 lon=9.095315
    - leisure_pitch (277196947) | id=277196947 | lat=39.213252 lon=9.125097
    - leisure_pitch (277196953) | id=277196953 | lat=39.230677 lon=9.111358
    - leisure_pitch (277196955) | id=277196955 | lat=39.247739 lon=9.118826
    - leisure_pitch (277196956) | id=277196956 | lat=39.232857 lon=9.104952
    - leisure_pitch (277196960) | id=277196960 | lat=39.245197 lon=9.118831
    - leisure_pitch (277196961) | id=277196961 | lat=39.239526 lon=9.114154
    - leisure_pitch (277196966) | id=277196966 | lat=39.209924 lon=9.126858
    - leisure_pitch (277196979) | id=277196979 | lat=39.204368 lon=9.140666
    - leisure_pitch (277196980) | id=277196980 | lat=39.202565 lon=9.141983
    - leisure_pitch (277196996) | id=277196996 | lat=39.209037 lon=9.126677
    - leisure_pitch (277196998) | id=277196998 | lat=39.240176 lon=9.111927
    - leisure_pitch (277196999) | id=277196999 | lat=39.232304 lon=9.130334
    - leisure_pitch (277197002) | id=277197002 | lat=39.242006 lon=9.137627
    - leisure_pitch (277197014) | id=277197014 | lat=39.202623 lon=9.138379
    - leisure_pitch (277197020) | id=277197020 | lat=39.247715 lon=9.119051
    - leisure_pitch (277197023) | id=277197023 | lat=39.222428 lon=9.133461
    - leisure_pitch (277197026) | id=277197026 | lat=39.237875 lon=9.141386
    - leisure_pitch (277197033) | id=277197033 | lat=39.230180 lon=9.119437
    - leisure_pitch (277197039) | id=277197039 | lat=39.271557 lon=9.085969
    - leisure_pitch (277197040) | id=277197040 | lat=39.202986 lon=9.141669
    - leisure_pitch (277197048) | id=277197048 | lat=39.206865 lon=9.144257
    - leisure_pitch (277197051) | id=277197051 | lat=39.196695 lon=9.134226
    - leisure_pitch (277197061) | id=277197061 | lat=39.258109 lon=9.098704
    - leisure_pitch (277197063) | id=277197063 | lat=39.212646 lon=9.124526
    - leisure_pitch (277197071) | id=277197071 | lat=39.216298 lon=9.131839
    - leisure_pitch (277197081) | id=277197081 | lat=39.230369 lon=9.127957
    - leisure_pitch (277197102) | id=277197102 | lat=39.215109 lon=9.102173
    - leisure_pitch (277197104) | id=277197104 | lat=39.232513 lon=9.132306
    - leisure_pitch (277197109) | id=277197109 | lat=39.203137 lon=9.138251
    - leisure_pitch (277197110) | id=277197110 | lat=39.266862 lon=9.100901
    - leisure_pitch (277197113) | id=277197113 | lat=39.204516 lon=9.128366
    - leisure_pitch (277197117) | id=277197117 | lat=39.244460 lon=9.134000
    - leisure_pitch (277197126) | id=277197126 | lat=39.218944 lon=9.126105
    - leisure_pitch (277197152) | id=277197152 | lat=39.212668 lon=9.123911
    - leisure_pitch (277197153) | id=277197153 | lat=39.224444 lon=9.096326
    - leisure_pitch (277197159) | id=277197159 | lat=39.227047 lon=9.124214
