node_id,road,house_number,neighborhood,suburb
11819306997,Via Charles Darwin,,,Monte Mixi
11819306998,Via Charles Darwin,,,Monte Mixi
11819307000,Via Charles Darwin,,,Monte Mixi
11819307001,Via Charles Darwin,,,Monte Mixi
11819307002,Via Sa Perda Bianca,,,Monte Mixi
11819307018,Viale Poetto,202,,Poetto-Medau su Cramu
11819307019,Via Vulcano,,,Poetto-Medau su Cramu
11819307024,Via Vulcano,,,Poetto-Medau su Cramu
11819307036,Via Vulcano,,,Poetto-Medau su Cramu
11819307041,Via Vulcano,,,Poetto-Medau su Cramu
11819307042,Via Vulcano,,,Poetto-Medau su Cramu
11819307044,Via Vulcano,,,Poetto-Medau su Cramu
11819307046,Via Vulcano,,,Poetto-Medau su Cramu
11819307051,Via Vulcano,236,,Poetto-Medau su Cramu
11819307052,Via Vulcano,236,,Poetto-Medau su Cramu
11819307054,Via Vulcano,236,,Poetto-Medau su Cramu
11819307055,Via Vulcano,236,,Poetto-Medau su Cramu
11819307056,Via Vulcano,236,,Poetto-Medau su Cramu
11819307058,Via Vulcano,,,Poetto-Medau su Cramu
11819307061,Via Vulcano,,,Poetto-Medau su Cramu
11819307062,Via Vulcano,5,,Poetto-Medau su Cramu
11819307065,Via Vulcano,,,Poetto-Medau su Cramu
11819307066,Via Vulcano,,,Poetto-Medau su Cramu
11819307067,Via Vulcano,,,Poetto-Medau su Cramu
11819307068,Via Vulcano,,,Poetto-Medau su Cramu
11819307069,Via Vulcano,,,Poetto-Medau su Cramu
11819307071,Via Vulcano,,,Poetto-Medau su Cramu
11819307072,Via Vulcano,,,Poetto-Medau su Cramu
11819307073,Via Vulcano,,,Poetto-Medau su Cramu
11819307075,Via Vulcano,,,Poetto-Medau su Cramu
11819307077,Via Vulcano,,,Poetto-Medau su Cramu
11821233242,Via Enrico Carboni Boi,1,,Monte Urpinu
11821233243,Via Enrico Carboni Boi,,,Monte Urpinu
11821233246,Via Luigi Amat,4,,Monte Urpinu
11821233247,Via Enrico Carboni Boi,,,Monte Urpinu
11821233248,Via Giuseppe Palomba,,,Monte Urpinu
11821233249,Via Luigi Amat,5,,Monte Urpinu
11821233250,Via Luigi Amat,,,Monte Urpinu
11821233251,Via Giuseppe Palomba,,,Monte Urpinu
11821233252,Via Luigi Amat,,,Monte Urpinu
11821233253,Via Luigi Amat,5,,Monte Urpinu
11821233257,Via Luigi Amat,,,Monte Urpinu
11821233258,Via Pasquale Cugia,,,Monte Urpinu
11821233259,Via Pasquale Cugia,,,Monte Urpinu
11821233260,Via Enrico Carboni Boi,,,Monte Urpinu
11821233261,Via Pasquale Cugia,,,Monte Urpinu
11821233262,Via Pasquale Cugia,,,Monte Urpinu
11822489162,,,,La Palma
11822489166,Vico di Via La Palma,,,La Palma
11822489167,Vico di Via La Palma,,,La Palma
11822495270,Vico di Via La Palma,,,La Palma
11822495282,Via Ingegnere Tommaso Fiorelli,,,La Palma
11822495315,Viale Poetto,60,,Quartiere del Sole
11822495323,Via Tramontana,,,La Palma
11822495324,Via Tramontana,,,La Palma
11822495325,Via Libeccio,1,,Quartiere del Sole
11822495326,Via Grecale,2,,Quartiere del Sole
11822495327,Viale Poetto,30,,Quartiere del Sole
11822495328,Viale Poetto,34,,Quartiere del Sole
11822495329,Viale Poetto,36,,Quartiere del Sole
11822495330,Viale Poetto,42,,Quartiere del Sole
11822495331,Via S'Arrulloni,,,Quartiere del Sole
11822495332,Via S'Arrulloni,,,Quartiere del Sole
11822495333,Via S'Arrulloni,1,,Quartiere del Sole
11822495334,Viale Poetto,62,,Quartiere del Sole
11822495335,Via Procida,1,,Quartiere del Sole
11822495336,Via Isola Pantelleria,1,,Quartiere del Sole
11822495337,Via Isola Levanzo,1,,Quartiere del Sole
11822495338,Viale Poetto,110,,Quartiere del Sole
11822495339,Viale Poetto,,,Borgo Sant'Elia
11834625949,Piazza Repubblica,,,Bonaria
11834625951,Piazza Repubblica,,,Bonaria
11834625952,Piazza Repubblica,,,Bonaria
11834625953,Piazza Repubblica,,,Bonaria
11847825831,Via del Pozzetto,8,,Quartiere del Sole
11847828078,Via Favonio,,,Quartiere del Sole
11847828079,Via Favonio,,,Quartiere del Sole
11847828082,Via Scirocco,2,,Quartiere del Sole
11847828084,Via Scirocco,2,,Quartiere del Sole
11847828086,Via S'Arrulloni,,,Quartiere del Sole
11847828095,Via S'Arrulloni,,,Quartiere del Sole
11847828098,Via S'Arrulloni,,,Quartiere del Sole
11847828106,Via S'Arrulloni,27,,Quartiere del Sole
11847828108,Via Scirocco,,,Quartiere del Sole
11847828112,Via dell'Astrolabio,3,,Quartiere del Sole
11847828131,Via Scirocco,,,Quartiere del Sole
11847828136,Via Scirocco,,,Quartiere del Sole
11847828139,Via Scirocco,2,,Quartiere del Sole
11847828141,Via Scirocco,,,Quartiere del Sole
11847828148,Via Scirocco,,,Quartiere del Sole
11847828152,Via S'Arrulloni,33,,Quartiere del Sole
11865664322,Via Guzzoni degli Ancarani,1a,,San Michele
11865824304,Via Robert Koch,2,,Is Mirrionis
11865824336,Via Diego Gregorio Cadello,,,Is Mirrionis
11865824365,Via Diego Gregorio Cadello,,,Is Mirrionis
11865824367,Via Diego Gregorio Cadello,,,Is Mirrionis
11865830275,Via Monte Claro,,,Is Mirrionis
11868804442,Via Giuseppe Peretti,11,,San Michele
11868804448,Via Giuseppe Peretti,13,,San Michele
11868804449,Piazzale Alessandro Ricchi,,,
11868804451,Via Giuseppe Peretti,13,,San Michele
11868804453,Via Giuseppe Peretti,,,San Michele
11874536553,Viale Armando Diaz,,,Bonaria
11898597223,Via Il Tintoretto,,,Mulinu Becciu
11898597267,Via Cimabue,2,,Mulinu Becciu
11898597274,Via Luigi Crespellani,84,,Mulinu Becciu
11898597478,Via Cala di Volpe,2,Is Campus,Municipalidadi de Pirri/Municipalit? di Pirri
11898597708,Via delle Felci,25,Is Campus,Municipalidadi de Pirri/Municipalit? di Pirri
11898597872,,,,Mulinu Becciu
11898597895,Strada Comunale Cuccuru Biancu,,,Mulinu Becciu
11916044187,Viale Roberto Pisano,,Terram?ini - Is Bingias,Municipalidadi de Pirri/Municipalit? di Pirri
11916044196,Pista ciclabile Terramaini,,Terram?ini - Is Bingias,Municipalidadi de Pirri/Municipalit? di Pirri
11916044200,Via Gaio Giulio Cesare,,Terram?ini - Is Bingias,Municipalidadi de Pirri/Municipalit? di Pirri
11941854612,Via Dante Alighieri,129,,Sant'Alenixedda
11941854613,Via Francesco Todde,2,,Sant'Alenixedda
11941854614,Via Torquato Tasso,1,,Sant'Alenixedda
11941854615,Via Ettore Pais,2,,Sant'Alenixedda
11941854618,Via Dante Alighieri,115,,Sant'Alenixedda
11941854623,Via Nicol? Ferracciu,1,,Sant'Alenixedda
11941854625,Via Dante Alighieri,216,,Sant'Alenixedda
11941854626,Via Dante Alighieri,218,,Sant'Alenixedda
11941854627,Via Francesco Salaris,1,,Sant'Alenixedda
11941854628,Via Efisio Cao di San Marco,2,,Sant'Alenixedda
11941854631,Via Dante Alighieri,145,,Sant'Alenixedda
11941854638,Via Dante Alighieri,116,,San Benedetto
11941854639,Via Dante Alighieri,116,,San Benedetto
