from_lat,from_lon,to_lat,to_lon,google_maps_transit_url,travel_time_min,wait_time_min,impedance_min,is_missing
39.200677,9.143674,39.22515,9.081151,https://www.google.com/maps/dir/?api=1&origin=39.200677%2C9.143674&destination=39.22515%2C9.081151&travelmode=transit&departure_time=1760529600,,,,1
39.231016,9.077457,39.217895,9.116538,https://www.google.com/maps/dir/?api=1&origin=39.231016%2C9.077457&destination=39.217895%2C9.116538&travelmode=transit&departure_time=1760529600,,,,1
39.248872,9.128835,39.174302,9.03055,https://www.google.com/maps/dir/?api=1&origin=39.248872%2C9.128835&destination=39.174302%2C9.03055&travelmode=transit&departure_time=1760529600,,,,1
39.23758,9.108588,39.22434,9.063047,https://www.google.com/maps/dir/?api=1&origin=39.23758%2C9.108588&destination=39.22434%2C9.063047&travelmode=transit&departure_time=1760529600,,,,1
39.226562,9.070544,39.21369,9.121339,https://www.google.com/maps/dir/?api=1&origin=39.226562%2C9.070544&destination=39.21369%2C9.121339&travelmode=transit&departure_time=1760529600,,,,1
39.230175,9.135496,39.234831,9.023917,https://www.google.com/maps/dir/?api=1&origin=39.230175%2C9.135496&destination=39.234831%2C9.023917&travelmode=transit&departure_time=1760529600,,,,1
39.23692,9.102561,39.188656,9.165249,https://www.google.com/maps/dir/?api=1&origin=39.23692%2C9.102561&destination=39.188656%2C9.165249&travelmode=transit&departure_time=1760529600,,,,1
39.234044,9.039376,39.247253,9.131616,https://www.google.com/maps/dir/?api=1&origin=39.234044%2C9.039376&destination=39.247253%2C9.131616&travelmode=transit&departure_time=1760529600,,,,1
39.229799,9.076658,39.232549,9.13094,https://www.google.com/maps/dir/?api=1&origin=39.229799%2C9.076658&destination=39.232549%2C9.13094&travelmode=transit&departure_time=1760529600,,,,1
39.236949,9.124833,39.187884,9.165654,https://www.google.com/maps/dir/?api=1&origin=39.236949%2C9.124833&destination=39.187884%2C9.165654&travelmode=transit&departure_time=1760529600,,,,1
39.202867,9.162185,39.200629,9.071015,https://www.google.com/maps/dir/?api=1&origin=39.202867%2C9.162185&destination=39.200629%2C9.071015&travelmode=transit&departure_time=1760529600,,,,1
39.194793,9.059854,39.213004,9.113733,https://www.google.com/maps/dir/?api=1&origin=39.194793%2C9.059854&destination=39.213004%2C9.113733&travelmode=transit&departure_time=1760529600,,,,1
39.223757,9.117562,39.176232,9.028693,https://www.google.com/maps/dir/?api=1&origin=39.223757%2C9.117562&destination=39.176232%2C9.028693&travelmode=transit&departure_time=1760529600,,,,1
39.250078,9.113004,39.208959,9.054059,https://www.google.com/maps/dir/?api=1&origin=39.250078%2C9.113004&destination=39.208959%2C9.054059&travelmode=transit&departure_time=1760529600,,,,1
39.166464,9.031284,39.220827,9.108185,https://www.google.com/maps/dir/?api=1&origin=39.166464%2C9.031284&destination=39.220827%2C9.108185&travelmode=transit&departure_time=1760529600,,,,1
39.217549,9.05587,39.247382,9.114632,https://www.google.com/maps/dir/?api=1&origin=39.217549%2C9.05587&destination=39.247382%2C9.114632&travelmode=transit&departure_time=1760529600,,,,1
39.185386,9.159183,39.206071,9.082455,https://www.google.com/maps/dir/?api=1&origin=39.185386%2C9.159183&destination=39.206071%2C9.082455&travelmode=transit&departure_time=1760529600,,,,1
39.227238,9.068454,39.200005,9.16032,https://www.google.com/maps/dir/?api=1&origin=39.227238%2C9.068454&destination=39.200005%2C9.16032&travelmode=transit&departure_time=1760529600,,,,1
39.217993,9.158022,39.235568,9.132155,https://www.google.com/maps/dir/?api=1&origin=39.217993%2C9.158022&destination=39.235568%2C9.132155&travelmode=transit&departure_time=1760529600,,,,1
39.224863,9.07503,39.220629,9.119075,https://www.google.com/maps/dir/?api=1&origin=39.224863%2C9.07503&destination=39.220629%2C9.119075&travelmode=transit&departure_time=1760529600,,,,1
39.252892,9.130687,39.18923,9.168061,https://www.google.com/maps/dir/?api=1&origin=39.252892%2C9.130687&destination=39.18923%2C9.168061&travelmode=transit&departure_time=1760529600,,,,1
39.216643,9.054274,39.215693,9.130781,https://www.google.com/maps/dir/?api=1&origin=39.216643%2C9.054274&destination=39.215693%2C9.130781&travelmode=transit&departure_time=1760529600,,,,1
