id,lon,lat
1336488545,9.1169397,39.2425408
1336510982,9.1235289,39.2434131
1336510994,9.1229707,39.2437061
1336536539,9.1227788,39.2464273
1336626036,9.1217955,39.2437201
1336655104,9.1189987,39.2471797
1336662465,9.1182044,39.2476383
1336662476,9.1182621,39.2474988
1336662493,9.1182988,39.247585
1336662495,9.1182259,39.2474616
1336662498,9.1182033,39.2471965
1336669353,9.1177083,39.247605
1336672458,9.1207528,39.2486171
1336672463,9.1206481,39.2484877
1336673054,9.1228868,39.248972
1336678702,9.1213111,39.2512564
1336678717,9.1218702,39.2510718
1336678720,9.1211745,39.2516721
1336678721,9.1216408,39.25127
1336678727,9.1215415,39.2510591
1336678728,9.1217772,39.2508681
1336678730,9.1214082,39.2514678
1336684245,9.1200887,39.2518711
1336684247,9.1195901,39.2515358
1336684248,9.1203692,39.2520685
1336688196,9.1181945,39.2494824
1336688200,9.1184217,39.2502678
1336688206,9.1194309,39.2495869
1336688213,9.1180708,39.2499045
1336688217,9.118598,39.2501511
1336688224,9.1193425,39.2493054
1336688226,9.1182299,39.2496483
1336688260,9.1182159,39.2498132
1336688270,9.1188229,39.2495578
1336688283,9.1187829,39.2494127
1336691517,9.119045,39.2511478
1336698871,9.1156907,39.2506383
1336703180,9.1181236,39.2496988
1336703183,9.1176657,39.2496177
1336711074,9.1208365,39.2518146
1336711078,9.1194458,39.2522304
1336711082,9.1212475,39.2520939
1336712657,9.1197381,39.2525837
1336716407,9.1191949,39.254893
1336721018,9.1179487,39.258183
1336721024,9.1176251,39.2588103
1336721025,9.1174606,39.2555967
1336721034,9.1194337,39.2597841
1336737674,9.1176715,39.2549615
1336737685,9.1172146,39.2597344
1336737694,9.1192016,39.2546041
1336737696,9.1165657,39.2598238
1336737702,9.1196225,39.2542502
1336737711,9.1169909,39.2554773
1336737717,9.1161977,39.260095
1336737718,9.1159107,39.2536374
1336744358,9.1178181,39.2539177
1336750552,9.1155629,39.2536837
1336806530,9.1183155,39.2506882
1336839877,9.1236106,39.247386
1336839880,9.1234574,39.2474987
1336852773,9.1262413,39.2475175
1336852774,9.1268675,39.2479661
1336852775,9.1259785,39.2473264
1336852779,9.1261142,39.2471959
1336868667,9.1272922,39.2454114
1336880384,9.1286772,39.2457834
1336880393,9.1287972,39.2456416
1336880401,9.1289981,39.2458734
1336880404,9.1289473,39.2458228
1336880413,9.1291116,39.2459929
1336883332,9.1305388,39.246059
1336904845,9.1306297,39.2360535
1336904869,9.1304573,39.2349066
1336904927,9.1338948,39.2365046
1336904942,9.1341253,39.2360885
1336911652,9.1342927,39.2352384
1336966282,9.1348748,39.25197
1336970903,9.134798,39.2520219
1336990152,9.1333429,39.2488244
1336990154,9.1341191,39.2498057
1336990156,9.133943,39.2489321
1336990158,9.1341434,39.250328
1336990160,9.1335816,39.2486312
1336990161,9.1338049,39.2500319
1336990163,9.1345819,39.2501984
1336995925,9.133278,39.2478219
1336995959,9.1356823,39.2448773
1337013104,9.1327468,39.2433871
1337032067,9.1372162,39.2411514
1337032153,9.1351626,39.2408894
1337032187,9.136373,39.2417992
1337032252,9.1374744,39.239686
1337079408,9.1384282,39.2415935
1337079455,9.137114,39.2417345
1337086013,9.1398061,39.2420886
1337086028,9.1396953,39.2421993
1337086030,9.1393651,39.2416161
1337086032,9.1392608,39.2414902
1337086034,9.1400412,39.2406898
1337086055,9.1395961,39.2417547
1337086057,9.1394642,39.241887
1337086063,9.1393589,39.2419926
1337092022,9.1392438,39.2437028
1337092039,9.1386314,39.2434329
1337092055,9.1383877,39.2433727
1337092084,9.1383756,39.24326
1337092118,9.1398077,39.2440475
1337092141,9.1383756,39.2441704
1337093473,9.1394542,39.2438315
1337093483,9.1395546,39.243731
1337093485,9.1395934,39.2436947
1337093489,9.1392795,39.243568
1337093491,9.1397892,39.2438754
1337104636,9.1406893,39.2442878
1349101247,9.1120823,39.2420851
1349101267,9.1097186,39.244615
1371344415,9.0962006,39.2272484
1371351942,9.1190183,39.2106415
1371351943,9.1192701,39.2111055
1391432174,9.1415668,39.211418
1415847632,9.1040391,39.249856
1415847645,9.1042583,39.2510777
1416167210,9.0966312,39.2461112
1431866136,9.108043,39.2478244
1431866137,9.1068378,39.248937
1431866141,9.110243,39.2485164
1431866143,9.1096026,39.2478306
1431866145,9.1080255,39.2481564
1452516060,9.1051005,39.2136393
1452759793,9.1037464,39.211474
1452759817,9.0981253,39.2283186
1452759846,9.1076149,39.2104551
1456184426,9.096889,39.2344771
1456208757,9.0974292,39.2335774
1456242999,9.1015328,39.2377876
