id,lon,lat
d296,9.1598569,39.201496
d297,9.1614398,39.2015128
d298,9.1457404,39.201553
d299,9.1335535,39.2015721
d300,9.1614829,39.2015765
d301,9.1295491,39.2015915
d302,9.1596457,39.2015916
d303,9.141998,39.2016068
d304,9.1488479,39.20161
d305,9.1615324,39.2016391
d306,9.1291193,39.2016798
d307,9.1600079,39.201695
d308,9.1500826,39.2017006
d309,9.1356612,39.2017261
d310,9.1395956,39.2017395
d311,9.1417165,39.2017437
d312,9.1436067,39.2017448
d313,9.1291084,39.201748
d314,9.1304758,39.2017747
d315,9.147173,39.201777
d316,9.1415842,39.2018012
d317,9.1411972,39.2018075
d318,9.1307379,39.2018106
d319,9.1304617,39.2018141
d320,9.1436001,39.2018204
d321,9.141514,39.2018865
d322,9.1276109,39.2019402
d323,9.1410798,39.2019416
d324,9.1334909,39.2019946
d325,9.1358574,39.2020064
d326,9.1272354,39.2020068
d327,9.1380197,39.2020221
d328,9.1323799,39.2020302
d329,9.1414495,39.2020324
d330,9.1481685,39.2020376
d331,9.1401254,39.2020593
d332,9.1410704,39.2020667
d333,9.1618619,39.2020902
d334,9.1331349,39.2021198
d335,9.1450242,39.2021523
d336,9.131921,39.2021597
d337,9.1410618,39.2021663
d338,9.1619327,39.2021809
d339,9.1330059,39.202195
d340,9.1385651,39.2022353
d341,9.1382228,39.2022527
d342,9.1448963,39.2022578
d343,9.1619938,39.2022618
d344,9.1328663,39.2022764
d345,9.1448534,39.2022933
d346,9.1253404,39.2023006
d347,9.1316529,39.2023196
d348,9.1489004,39.2023211
d349,9.1349236,39.2024183
d350,9.1284299,39.202423
d351,9.1613854,39.2024335
d352,9.1612683,39.2024872
d353,9.1391701,39.2024962
d354,9.1381922,39.202508
d355,9.1453337,39.2025522
d356,9.1483373,39.2025619
d357,9.1495209,39.2025868
d358,9.1435325,39.202591
d359,9.1444506,39.2026148
d360,9.1609758,39.2026214
d361,9.148197,39.2026274
d362,9.1442469,39.2026291
d363,9.1405071,39.2026731
d364,9.12988,39.202704
d365,9.1607969,39.2027046
d366,9.1265797,39.2027227
d367,9.1620934,39.202723
d368,9.1294733,39.2027459
d369,9.1620189,39.2027527
d370,9.1619255,39.2027542
d371,9.1615956,39.2027611
d372,9.1612282,39.2027621
d373,9.1404364,39.2027756
d374,9.129339,39.2027784
d375,9.161792,39.2027847
d376,9.1619454,39.2027889
d377,9.132008,39.2027916
d378,9.1618094,39.2028299
d379,9.1620252,39.2028377
d380,9.1621855,39.202867
d381,9.1264228,39.2028969
d382,9.1611932,39.2029075
d383,9.1620568,39.2029233
d384,9.1618629,39.2029297
d385,9.1434971,39.2029791
d386,9.1377973,39.2030005
d387,9.1437647,39.2030137
d388,9.162576,39.2030301
d389,9.1613033,39.2030523
d390,9.1409726,39.2030685
d391,9.1448053,39.2030814
d392,9.1292704,39.2030852
d393,9.1626243,39.2030987
d394,9.1434825,39.2031362
d395,9.1626663,39.2031623
d396,9.1363331,39.2031643
d397,9.1352034,39.2031975
d398,9.1411387,39.2032271
d399,9.1443194,39.2032904
d400,9.1619764,39.2033746
d401,9.12602,39.2034624
d402,9.1617223,39.2034812
d403,9.1451,39.2034862
d404,9.1386393,39.2035024
d405,9.1614173,39.2035421
d406,9.162969,39.2035703
d407,9.1630101,39.2036195
d408,9.1347468,39.2036374
d409,9.1400932,39.2036548
d410,9.1629192,39.2036561
d411,9.1630351,39.2036585
d412,9.1257275,39.2036704
d413,9.1446202,39.2036887
d414,9.1629495,39.2036954
d415,9.145276,39.2037053
d416,9.1630925,39.2037264
d417,9.1628058,39.2037333
d418,9.1398539,39.2037633
d419,9.1225736,39.2037759
d420,9.139681,39.203826
d421,9.13241,39.2038566
d422,9.1434006,39.2040295
d423,9.125388,39.204031
d424,9.1439023,39.204052
d425,9.1459257,39.2040627
d426,9.1619457,39.2041259
d427,9.1357986,39.2041712
d428,9.1379759,39.2041815
d429,9.1373222,39.2041923
d430,9.1282317,39.2041999
d431,9.1617896,39.2042046
d432,9.134168,39.2042212
d433,9.1354493,39.2042342
d434,9.1618033,39.2042396
d435,9.1251587,39.204283
d436,9.1635333,39.2043084
d437,9.1436804,39.2043302
d438,9.1635816,39.2043776
d439,9.1437875,39.2044008
d440,9.133828,39.2044015
d441,9.1220466,39.2044044
d442,9.1254171,39.2044132
d443,9.1351789,39.2044151
d444,9.1618744,39.2044215
d445,9.1433236,39.2044275
d446,9.1636319,39.2044535
d447,9.1430372,39.2045016
d448,9.135839,39.2045523
d449,9.1384816,39.2045738
d450,9.128121,39.204579
d451,9.1248601,39.2046163
d452,9.1423566,39.2046263
d453,9.1457989,39.2046275
d454,9.1341654,39.2046553
d455,9.1204711,39.2046779
d456,9.1433757,39.2047166
d457,9.1251249,39.2047271
d458,9.1386505,39.2047279
d459,9.146019,39.2047885
d460,9.138528,39.2047936
d461,9.0846982,39.2047939
d462,9.1638898,39.2048016
d463,9.162619,39.2048178
d464,9.1431485,39.2048598
d465,9.1639463,39.2048871
d466,9.1246075,39.204898
d467,9.1639882,39.2049391
d468,9.1340193,39.2049559
d469,9.1473991,39.2049613
d470,9.1339175,39.2049658
d471,9.1386126,39.2049824
d472,9.1466601,39.204985
d473,9.1465964,39.2049861
d474,9.1495896,39.2049929
d475,9.1398338,39.204995
d476,9.1407872,39.2049951
d477,9.1420873,39.2049955
d478,9.1416268,39.2049977
d479,9.162829,39.2050126
d480,9.1469124,39.205014
d481,9.1337682,39.2050241
d482,9.1248564,39.2050309
d483,9.1419014,39.2050453
d484,9.1465215,39.2050543
d485,9.1423186,39.2050695
d486,9.1425217,39.2050732
d487,9.1327524,39.205133
d488,9.1260386,39.2051505
d489,9.1328539,39.2051632
d490,9.1625044,39.2051881
d491,9.1305416,39.2052383
d492,9.146313,39.2052553
d493,9.1432886,39.2052654
d494,9.1419012,39.2052666
d495,9.163162,39.2052781
d496,9.144203,39.2052839
d497,9.1462137,39.2052952
d498,9.1469215,39.2052954
d499,9.1418528,39.2052964
d500,9.1416244,39.2052973
