node_id,lat,lon,capability_restorativeness,service_sport_and_movement,service_scenic_views,service_quietness,service_cultural_activities,service_nature_contact
304697327,39.2503095,9.1308779,0.9967210863077195,0.9958779873164213,0.9967210863077195,0.9855025874345364,0.8310747088311706,0.9967210863077195
304697328,39.2510546,9.1283474,0.9959235313390109,0.9959235313390109,0.9943117662899884,0.9813369556064463,0.8278219318149498,0.9943117662899884
304697329,39.2506182,9.1291971,0.9954406192213129,0.9945200336010903,0.9954406192213129,0.9834933114284861,0.8293949246843885,0.9954406192213129
304697330,39.2502399,9.1299205,0.9961172328202641,0.9950540908491761,0.9961172328202641,0.9848439193642438,0.8302959867576097,0.9961172328202641
304697331,39.2499158,9.1305581,0.9967408682542094,0.9955644831242045,0.9967408682542094,0.9865371566424064,0.8313514438197775,0.9967408682542094
304697332,39.2495856,9.1311953,0.9972309579110455,0.9961705022733089,0.9972309579110455,0.9880029177736175,0.8321899368408379,0.9972309579110455
304697333,39.2492502,9.1318434,0.9975242559725696,0.9967033995640935,0.9975242559725696,0.9891723152212821,0.8328443947743522,0.9975242559725696
304697334,39.2511238,9.1296325,0.9955681827828061,0.9955681827828061,0.9948846379171798,0.9812965376950609,0.8284992716113307,0.9948846379171798
304697335,39.25051,9.1310429,0.9964858099834348,0.9958048763946185,0.9964858099834348,0.9847484551066905,0.8308113703627401,0.9964858099834348
304697336,39.251459,9.1299055,0.9950838353833273,0.9950838353833273,0.9943279608611411,0.9799874621499579,0.8276758089354324,0.9943279608611411
304697337,39.2508407,9.1313274,0.9959964441297389,0.994955919635286,0.9959964441297389,0.9834662071158056,0.8300236276014616,0.9959964441297389
304697339,39.2522109,9.1291017,0.9954103062564474,0.9954103062564474,0.9903013446786796,0.9725492508736049,0.8222371549466876,0.9903013446786796
304697340,39.2517596,9.1301542,0.9948978795633425,0.9948978795633425,0.9939641243793793,0.9791003383026575,0.8270649469786742,0.9939641243793793
304697341,39.2511789,9.1315249,0.9956877555765391,0.9942404238808068,0.9956877555765391,0.9822662805978314,0.8292894416474035,0.9956877555765391
