node_id,lat,lon,capability_to_eat,dining_out_service,on_the_go_service
11795264529,39.2359879,9.1331486,0.9691695029396529,0.9646721986445365,0.9759154593823275
11795264531,39.2364384,9.1329844,0.9697194401039093,0.9652022865061406,0.9764951705005623
11795264534,39.2369838,9.1325133,0.9708838582107685,0.9664149896574555,0.9775871610407381
11795264537,39.235749,9.1332012,0.9692531117691982,0.9647964276964347,0.9759381378783434
11795420507,39.2031279,9.1509558,0.9867134277893762,0.9871018079301207,0.9861308575782594
11795420518,39.20161,9.1488479,0.980223309618172,0.9806059759804262,0.9796493100747906
11795420520,39.2020376,9.1481685,0.9815410099938024,0.9818763189056903,0.9810380466259708
11795420525,39.2026274,9.148197,0.9805785117463559,0.9811107786939788,0.9797801113249216
11795420526,39.2023211,9.1489004,0.9821171256213146,0.9826019006962974,0.9813899630088405
11795420527,39.2025619,9.1483373,0.9803530494581267,0.9808600539995947,0.9795925426459248
11795420536,39.2072507,9.1510641,0.9888528881193854,0.9891555156138157,0.9883989468777401
11795420550,39.206731,9.1514423,0.9879994451772286,0.9883303297136904,0.987503118372536
11795420553,39.20691,9.1517087,0.9883665416172238,0.9886852717857456,0.9878884463644412
11795420555,39.2066407,9.1517983,0.9880169357069318,0.9883472400795243,0.9875214791480431
11795420565,39.2034291,9.1528973,0.9873057188369536,0.9876736539260327,0.986753816203335
11795420568,39.2034704,9.1532207,0.9875019639512663,0.9878631804469062,0.9869601392078065
11795423197,39.1968845,9.1578313,0.9884529289619286,0.9888513740150657,0.9878552613822229
11795423198,39.196845,9.1580669,0.9884893211443218,0.9888844479042289,0.9878966310044609
