from_lat,from_lon,to_lat,to_lon,google_maps_transit_url,travel_time,wait_time,impedance,is_missing
39.219946,9.113075,39.24146,9.030239,https://www.google.com/maps/dir/?api=1&origin=39.219946%2C9.113075&destination=39.24146%2C9.030239&travelmode=transit&departure_time=1760529600,,,,1
39.231383,9.118116,39.231499,9.076457,https://www.google.com/maps/dir/?api=1&origin=39.231383%2C9.118116&destination=39.231499%2C9.076457&travelmode=transit&departure_time=1760529600,,,,1
39.217993,9.05421,39.214956,9.116128,https://www.google.com/maps/dir/?api=1&origin=39.217993%2C9.05421&destination=39.214956%2C9.116128&travelmode=transit&departure_time=1760529600,,,,1
39.251758,9.118747,39.190372,9.16523,https://www.google.com/maps/dir/?api=1&origin=39.251758%2C9.118747&destination=39.190372%2C9.16523&travelmode=transit&departure_time=1760529600,,,,1
39.226601,9.061749,39.230168,9.109247,https://www.google.com/maps/dir/?api=1&origin=39.226601%2C9.061749&destination=39.230168%2C9.109247&travelmode=transit&departure_time=1760529600,,,,1
39.220256,9.049452,39.224584,9.118905,https://www.google.com/maps/dir/?api=1&origin=39.220256%2C9.049452&destination=39.224584%2C9.118905&travelmode=transit&departure_time=1760529600,,,,1
39.214773,9.152184,39.21563,9.114634,https://www.google.com/maps/dir/?api=1&origin=39.214773%2C9.152184&destination=39.21563%2C9.114634&travelmode=transit&departure_time=1760529600,,,,1
39.226965,9.118005,39.169029,9.034493,https://www.google.com/maps/dir/?api=1&origin=39.226965%2C9.118005&destination=39.169029%2C9.034493&travelmode=transit&departure_time=1760529600,,,,1
39.233241,9.101305,39.230516,9.074013,https://www.google.com/maps/dir/?api=1&origin=39.233241%2C9.101305&destination=39.230516%2C9.074013&travelmode=transit&departure_time=1760529600,,,,1
39.21195,9.153835,39.227999,9.067463,https://www.google.com/maps/dir/?api=1&origin=39.21195%2C9.153835&destination=39.227999%2C9.067463&travelmode=transit&departure_time=1760529600,,,,1
39.226015,9.068868,39.203462,9.12602,https://www.google.com/maps/dir/?api=1&origin=39.226015%2C9.068868&destination=39.203462%2C9.12602&travelmode=transit&departure_time=1760529600,,,,1
39.214582,9.157336,39.246778,9.134505,https://www.google.com/maps/dir/?api=1&origin=39.214582%2C9.157336&destination=39.246778%2C9.134505&travelmode=transit&departure_time=1760529600,,,,1
39.235802,9.133767,39.168983,9.031959,https://www.google.com/maps/dir/?api=1&origin=39.235802%2C9.133767&destination=39.168983%2C9.031959&travelmode=transit&departure_time=1760529600,,,,1
39.242839,9.137656,39.167852,9.030034,https://www.google.com/maps/dir/?api=1&origin=39.242839%2C9.137656&destination=39.167852%2C9.030034&travelmode=transit&departure_time=1760529600,,,,1
39.237132,9.096904,39.229609,9.072175,https://www.google.com/maps/dir/?api=1&origin=39.237132%2C9.096904&destination=39.229609%2C9.072175&travelmode=transit&departure_time=1760529600,,,,1
39.236924,9.099422,39.225467,9.080888,https://www.google.com/maps/dir/?api=1&origin=39.236924%2C9.099422&destination=39.225467%2C9.080888&travelmode=transit&departure_time=1760529600,,,,1
39.241741,9.118131,39.269942,9.084611,https://www.google.com/maps/dir/?api=1&origin=39.241741%2C9.118131&destination=39.269942%2C9.084611&travelmode=transit&departure_time=1760529600,,,,1
39.244773,9.114083,39.188656,9.165249,https://www.google.com/maps/dir/?api=1&origin=39.244773%2C9.114083&destination=39.188656%2C9.165249&travelmode=transit&departure_time=1760529600,,,,1
39.217045,9.055857,39.232456,9.111072,https://www.google.com/maps/dir/?api=1&origin=39.217045%2C9.055857&destination=39.232456%2C9.111072&travelmode=transit&departure_time=1760529600,,,,1
39.226557,9.071886,39.23048,9.130353,https://www.google.com/maps/dir/?api=1&origin=39.226557%2C9.071886&destination=39.23048%2C9.130353&travelmode=transit&departure_time=1760529600,,,,1
39.188685,9.162546,39.222806,9.113068,https://www.google.com/maps/dir/?api=1&origin=39.188685%2C9.162546&destination=39.222806%2C9.113068&travelmode=transit&departure_time=1760529600,,,,1
39.214303,9.150365,39.216388,9.09917,https://www.google.com/maps/dir/?api=1&origin=39.214303%2C9.150365&destination=39.216388%2C9.09917&travelmode=transit&departure_time=1760529600,,,,1
39.249011,9.103723,39.233753,9.035125,https://www.google.com/maps/dir/?api=1&origin=39.249011%2C9.103723&destination=39.233753%2C9.035125&travelmode=transit&departure_time=1760529600,,,,1
39.193117,9.141104,39.176232,9.028693,https://www.google.com/maps/dir/?api=1&origin=39.193117%2C9.141104&destination=39.176232%2C9.028693&travelmode=transit&departure_time=1760529600,,,,1
39.18869,9.165493,39.201133,9.148142,https://www.google.com/maps/dir/?api=1&origin=39.18869%2C9.165493&destination=39.201133%2C9.148142&travelmode=transit&departure_time=1760529600,,,,1
39.216706,9.054681,39.210478,9.120771,https://www.google.com/maps/dir/?api=1&origin=39.216706%2C9.054681&destination=39.210478%2C9.120771&travelmode=transit&departure_time=1760529600,,,,1
39.223087,9.11343,39.183439,9.159729,https://www.google.com/maps/dir/?api=1&origin=39.223087%2C9.11343&destination=39.183439%2C9.159729&travelmode=transit&departure_time=1760529600,,,,1
