node_id,lat,lon,capability_care,service_medicines_and_supplies,service_impatient_and_care,service_rehabilitation_services,service_diagnosis_and_prevention,service_emergency_services,service_care_services
302742471,39.2228059,9.1322696,0.9869465738581851,0.9893514065920033,0.9707283383991206,0.3421361474149748,0.9436680157857307,0.9644080270181673,0.9773272429229121
302742475,39.2211413,9.1328133,0.9891881173795147,0.9920968512632875,0.9751452384247539,0.34660076679277413,0.9475765835517833,0.9645080777471069,0.9775531818444236
302742477,39.2204593,9.1321416,0.9860182112930916,0.9890188930674955,0.9690472272690311,0.3405983951102735,0.9433388786223578,0.9576903222559429,0.9740154841954762
302742479,39.2208298,9.133218,0.9877378435133616,0.9907057682018973,0.9722053443862416,0.34391538333638844,0.9455890896315726,0.9612210860326124,0.9758661447592188
302742889,39.2127471,9.1281904,0.9913941291828866,0.9950272154142237,0.9768617842575389,0.393568613162715,0.959496519996519,0.9626219961119483,0.9471531197934343
291585173,39.1984338,9.1434803,0.956013324164655,0.9461023105904529,0.956013324164655,0.2945411029133433,0.8862953835235348,0.949514662064995,0.8741290283246397
291585174,39.1983901,9.1436427,0.9569239048602639,0.946733303710205,0.9569239048602639,0.2951604053238078,0.8869377882484712,0.9497647857844308,0.8743500013328047
291585177,39.1986818,9.1434501,0.9541717942608371,0.944825994500761,0.9541717942608371,0.2933091730870974,0.8850315424130403,0.9493552418294637,0.8726189481007025
291585264,39.1984865,9.1438407,0.9542718363101378,0.9466640931212326,0.9542718363101379,0.29607813877104167,0.8882245453188741,0.9495984311775318,0.8741124024766319
291585356,39.1937099,9.0593134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291585359,39.2226536,9.0570428,0.410017938372568,0.0,0.0,0.0,0.0,0.0,0.410017938372568
291585364,39.2124102,9.114381,0.9997278587048182,0.9953064162632304,0.9997278587048182,0.47774846518683173,0.9691983630843728,0.9633533563595974,0.9282479316204364
291585367,39.2035828,9.128644,0.8909142852357209,0.8435059055577474,0.8909142852357209,0.3113709068546352,0.8830357711241685,0.8909142852357209,0.8484695269682481
291585368,39.2025624,9.1305152,0.8543988317600513,0.8425621146737046,0.8542422135633849,0.29182548031102185,0.8544379863092179,0.8532144066477619,0.8224560462293061
291585531,39.1677057,9.0333197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291719654,39.2161269,9.1097041,0.9993139996250328,0.9994423814888396,0.9988004721698053,0.5149972776065063,0.9786255750012052,0.9888065328682988,0.9285616427074402
291719655,39.2168847,9.108506,0.9994915789302378,0.999123252912698,0.9994915789302378,0.5231090045997422,0.9796782601335462,0.9877313822688203,0.929548181346966
291927171,39.2222841,9.0819136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291927208,39.2260146,9.0688677,0.410017938372568,0.0,0.0,0.0,0.0,0.0,0.410017938372568
291927212,39.2150086,9.0892804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291927274,39.2263743,9.0725273,0.410017938372568,0.0,0.0,0.0,0.0,0.0,0.410017938372568
291927286,39.2158059,9.0549816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291927343,39.2222729,9.0561955,0.410017938372568,0.0,0.0,0.0,0.0,0.0,0.410017938372568
291927360,39.218199,9.0541715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
