"poi_type","decay_coefficient","choquet_interactions","tags","labels"
"residential_healthcare","54","[None,0.05,0]","[{""amenity"": ""hospital""}, {""healthcare"": ""hospital""}, {""healthcare:speciality"": ""obstetrics""}, {""healthcare:specialty"": ""psychiatry""}, {""amenity"": ""social_facility"", ""social_facility"": ""assisted_living""}, {""amenity"": ""retirement_home""}, {""amenity"": ""social_facility"", ""social_facility"": ""nursing_home""}, {""healthcare:specialty"": ""obstetrics""}, {""healthcare:speciality"": ""psychiatry""}, {""healthcare"": ""hospice""}]","[""amenity_hospital"", ""healthcare_hospital"", ""healthcare_speciality_obstetrics"", ""healthcare_speciality_psychiatry"", ""healthcare_specialty_psychiatry"", ""healthcare_speciality_oncology"", ""healthcare_specialty_oncology"", ""healthcare_speciality_rehabilitation"", ""healthcare_specialty_rehabilitation"", ""social_facility_assisted_living"", ""amenity_retirement_home"", ""amenity_nursing_home"", ""social_facility_nursing_home"", ""?tablissement de soins de courte dur?e"", ""?tablissement de soins de longue dur?e"", ""?tablissement psychiatrique"", ""Centre de lutte contre le cancer"", ""Maternit?"", ""Personnes ?g?es : h?bergement"", ""?tablissement de soins de suite et de r?adaptation"", ""D101"", ""D103"", ""D104"", ""D105"", ""D107"", ""D401"", ""D102"", ""healthcare_specialty_obstetrics"", ""healthcare_hospice""]"
"outpatient_therapeutic_care","24","[0.05,None,0.03]","[{""amenity"": ""clinic""}, {""healthcare"": ""clinic""}, {""healthcare"": ""clinic"", ""healthcare:facility"": ""multi_speciality""}, {""healthcare"": ""physiotherapist""}, {""healthcare"": ""prosthetics""}, {""healthcare"": ""occupational_therapist""}, {""healthcare"": ""psychomotrician""}, {""healthcare"": ""rehabilitation""}, {""healthcare"": ""speech_therapist""}]","[""amenity_clinic"", ""healthcare_clinic"", ""healthcare_clinic_facility_multi_speciality"", ""healthcare_physiotherapist"", ""healthcare_prosthetics"", ""healthcare_occupational_therapist"", ""healthcare_psychomotrician"", ""healthcare_rehabilitation"", ""healthcare_speciality_rehabilitation"", ""healthcare_specialty_rehabilitation"", ""Masseur kin?sith?rapeute"", ""D245"", ""D247"", ""D248"", ""D249"", ""D250"", ""D258"", ""D279"", ""healthcare_speech_therapist""]"
"therapeutic_wellness","36","[0,0.03,None]","[{""amenity"": ""spa""}, {""leisure"": ""spa""}, {""tourism"": ""spa""}, {""leisure"": ""sauna""}, {""amenity"": ""public_bath""}, {""shop"": ""massage""}, {""healthcare"": ""alternative""}]","[""amenity_spa"", ""amenity_thermal_bath"", ""leisure_spa"", ""tourism_spa"", ""tourism_thermal_bath"", ""etabilissment Thermal"", ""D305"", ""leisure_sauna"", ""amenity_public_bath"", ""shop_massage"", ""healthcare_alternative""]"
"primary_care","24","[None,0.05,0]","[{""healthcare"": ""centre""}, {""healthcare"": ""centre"", ""healthcare:facility"": ""multi_speciality""}, {""amenity"": ""doctors""}, {""healthcare"": ""doctor""}, {""healthcare"": ""centre"", ""healthcare:speciality"": ""maternal_child_health""}, {""healthcare"": ""general""}]","[""healthcare_centre"", ""healthcare_centre_facility_multi_speciality"", ""amenity_doctors"", ""healthcare_doctor"", ""healthcare_centre_speciality_maternal_child_health"", ""D108"", ""D113"", ""D265"", ""D115"", ""healthcare_general""]"
"specialized_diagnostic_preventive","36","[0.05,None,0.05]","[{""healthcare"": ""laboratory""}, {""amenity"": ""clinic"", ""healthcare:speciality"": ""laboratory_medicine""}, {""healthcare"": ""centre"", ""healthcare:speciality"": ""preventive_medicine""}, {""healthcare"": ""clinic"", ""healthcare:speciality"": ""preventive_medicine""}, {""healthcare"": ""blood_donation""}, {""blood_donation"": ""transfusion""}, {""healthcare"": ""radiology""}, {""healthcare"": ""sample_collection""}, {""healthcare"": ""diagnostics""}]","[""healthcare_laboratory"", ""amenity_clinic_speciality_laboratory_medicine"", ""healthcare_centre_speciality_preventive_medicine"", ""healthcare_clinic_speciality_preventive_medicine"", ""healthcare_blood_donation"", ""blood_donation_transfusion"", ""D302"", ""D110"", ""D304"", ""D274"", ""healthcare_radiology"", ""healthcare_sample_collection"", ""healthcare_diagnostics""]"
"outpatient_clinical_services","36","[0.0,0.05,None]","[{""healthcare"": ""dietitian""}, {""healthcare:speciality"": ""dietitian"", ""office"": ""healthcare""}, {""healthcare"": ""psychologist""}, {""healthcare:specialty"": ""psychiatry""}, {""healthcare"": ""physiotherapist""}, {""healthcare"": ""podiatrist""}, {""healthcare"": ""occupational_therapist""}, {""healthcare"": ""psychomotrician""}, {""amenity"": ""dentist""}, {""healthcare"": ""dentist""}]","[""healthcare_dietitian"", ""office_healthcare_speciality_dietitian"", ""healthcare_psychologist"", ""healthcare_specialty_psychiatry"", ""healthcare_physiotherapist"", ""healthcare_podiatrist"", ""healthcare_occupational_therapist"", ""healthcare_psychomotrician"", ""amenity_dentist"", ""healthcare_dentist"",""D249"",""D250"",""D109"",""D251"",""D252"",""D253"",""D254"",""D255"",""D256"",""D257"",""D259"",""D260"",""D261"",""D262"",""D266"",""D267"",""D268"",""D269"",""D270"",""D271"",""D272"",""D273"",""D275"",""D276"",""D277"",""D279"",""D280""]"
"hospital_emergency_care","54","[None,0.07]","[{""emergency"": ""department""}, {""amenity"": ""hospital""}, {""healthcare"": ""hospital""}, {""healthcare:speciality"": ""obstetrics""}]","[""emergency_department"", ""amenity_hospital"", ""healthcare_hospital"", ""healthcare_speciality_obstetrics"",""D106"",""D101"",""D107""]"
"mobile_emergency_services","54","[0.07,None]","[{""amenity"": ""ambulance_station""}, {""emergency"": ""ambulance_station""}, {""healthcare"": ""blood_donation""}]","[""amenity_ambulance_station"", ""emergency_ambulance_station"", ""healthcare_blood_donation"",""D303"",""D304""]"
"residential_social_care","54","[None,0.03,0,0.03]","[{""amenity"": ""social_facility"", ""social_facility"": ""assisted_living""}, {""social_facility"": ""assisted_living""}, {""amenity"": ""retirement_home""}, {""amenity"": ""social_facility"", ""social_facility"": ""nursing_home""}, {""amenity"": ""social_facility"", ""social_facility"": ""group_home""}, {""amenity"": ""social_facility""}]","[""social_facility_assisted_living"", ""social_facility_assisted_living_only"", ""amenity_retirement_home"", ""social_facility_nursing_home"", ""social_facility_group_home"", ""amenity_social_facility"", ""D401"", ""D601"", ""D603"", ""D701"", ""D703"", ""D704"", ""D705"", ""D710""]"
"home_community_care","9.6","[0.03,None,0.03,0.03]","[{""healthcare"": ""dialysis""}, {""healthcare"": ""home_care""}, {""healthcare"": ""midwife""}, {""healthcare"": ""nurse""}, {""healthcare"": ""clinic""}]","[""healthcare_dialysis"", ""healthcare_home_care"", ""healthcare_midwife"", ""healthcare_nurse"", ""healthcare_clinic"",""D111"",""D112"",""D402"",""D403"",""D606"",""D604"",""D602"",""D607"",""D278"",""D281""]"
"socioeducational_family_care","24","[0,0.03,None,0.03]","[{""healthcare"": ""centre"", ""healthcare:speciality"": ""maternal_child_health""}, {""amenity"": ""community_centre""}, {""amenity"": ""social_facility"", ""social_facility"": ""day_care""}, {""amenity"": ""childcare""}, {""amenity"": ""social_centre""}]","[""healthcare_centre_speciality_maternal_child_health"", ""amenity_community_centre"", ""social_facility_day_care"", ""D115"", ""D502"", ""D503"", ""D504"", ""D505"", ""D506"", ""D507"", ""amenity_childcare"", ""amenity_social_centre""]"
"social_inclusion_reintegration","36","[0.03,0.03,0.03,None]","[{""healthcare:speciality"": ""addiction_medicine""}, {""amenity"": ""social_facility"", ""social_facility"": ""workshop""}, {""amenity"": ""social_facility"", ""social_facility"": ""shelter""}, {""amenity"": ""refugee_site""}]","[""healthcare_speciality_addiction_medicine"", ""social_facility_workshop"", ""social_facility_shelter"", ""amenity_refugee_site"", ""D114"", ""D605"", ""D702"", ""D711""]"
